Timestamp,X,Y,Z,Activity
36:55.2,-1.960851,-13.76666,6.528988,running
36:55.3,-1.355118,-8.631097,1.599327,running
36:55.4,0.19393,-2.39899,-0.533907,running
36:55.4,0.033519,-15.581465,6.64391,running
36:55.5,0.126893,-6.481104,5.664681,running
36:55.6,-3.057395,-4.141969,5.525817,running
36:55.7,1.836353,-3.473987,-1.441309,running
36:55.8,-8.705317,-38.517918,4.299986,running
36:55.8,-6.110003,-27.626694,-5.880159,running
36:55.9,4.462792,-12.093113,-1.276109,running
36:56.0,-1.374272,-6.856994,0.328006,running
36:56.1,-2.420538,-2.267309,-0.318429,running
36:56.2,-1.802834,-10.560823,10.125079,running
36:56.2,3.849876,-5.746084,7.184999,running
36:56.3,-0.263362,-3.782839,5.619191,running
36:56.4,3.038242,0.553061,-1.410185,running
36:56.5,4.781221,-29.137434,-3.323152,running
36:56.6,-2.944868,-13.929465,-0.079009,running
36:56.6,-1.043872,-14.901511,5.798757,running
36:56.7,-2.059013,-8.374918,3.157952,running
36:56.8,-1.704672,-1.156399,-1.086968,running
36:56.9,0.296881,-15.354015,0.890643,running
36:57.0,-2.504335,-17.312473,7.153875,running
36:57.0,0.136469,-4.668694,2.008735,running
36:57.1,4.965574,-3.083732,-2.3535,running
36:57.2,4.630386,0.521936,0.476446,running
36:57.3,-4.268862,-14.075512,8.872911,running
36:57.4,-2.561796,-14.025233,2.116474,running
36:57.4,-4.34787,-9.933543,3.758897,running
36:57.5,-0.943315,-1.204283,-0.062249,running
36:57.6,7.043741,-9.239224,1.841141,running
36:57.7,2.8491,-12.138602,3.62961,running
36:57.8,0.715866,-5.274426,7.558495,running
36:57.8,-2.183512,-3.562572,2.796427,running
36:57.9,4.288015,-2.092532,3.433285,running
36:58.0,9.172187,-18.634071,-6.780379,running
36:58.1,5.444415,-16.352398,-0.280122,running
36:58.2,-3.050213,-14.927848,3.234566,running
36:58.2,1.417367,-7.915231,2.659958,running
36:58.3,0.31364,-3.280056,0.512359,running
36:58.4,-2.999935,-12.126632,2.659958,running
36:58.5,3.201048,-25.404875,3.790021,running
36:58.6,0.902614,-4.247314,5.32231,running
36:58.6,2.08535,-0.4956,-2.303222,running
36:58.7,4.304775,-6.667852,2.853889,running
36:58.8,-0.543484,-5.027823,9.382876,running
36:58.9,-4.553771,-14.872781,6.933608,running
36:59.0,0.407014,-8.252813,0.514753,running
36:59.0,0.150835,-0.40462,-2.03986,running
36:59.1,5.810728,-11.647791,7.335834,running
36:59.2,-1.649605,-20.262129,1.733402,running
36:59.3,1.987187,-0.730232,5.073313,running
36:59.4,-1.984793,-5.21936,-7.850587,running
36:59.4,6.730101,-27.394455,2.195483,running
36:59.5,-3.679888,-21.839909,-2.695871,running
36:59.6,9.155427,-13.852851,2.726996,running
36:59.7,-2.760514,-0.328006,0.04549,running
36:59.8,-6.0286,-9.562442,6.979098,running
36:59.8,-3.756502,-15.828068,11.317391,running
36:59.8,0.335188,-12.418724,9.320627,running
36:59.8,6.43322,-4.953603,6.715736,running
36:59.9,5.659893,-4.048595,6.129156,running
36:59.9,2.583344,-5.676652,6.50744,running
36:59.9,0.131681,-6.58166,7.433996,running
36:59.9,0.538695,-7.218518,7.491457,running
36:59.9,-0.25618,-9.464279,8.054094,running
37:00.0,-0.234632,-9.569624,7.740454,running
37:00.0,-0.577003,-8.619126,4.158728,running
37:00.0,-0.141258,-6.330269,1.460463,running
37:00.0,1.072602,-3.37343,-0.215478,running
37:00.0,1.517924,-0.818817,-1.163582,running
37:00.1,2.779668,1.161188,-2.779668,running
37:00.1,4.434062,1.367089,-2.437297,running
37:00.1,3.663129,-10.443508,2.875436,running
37:00.1,2.956839,-21.590912,0.428562,running
37:00.1,0.565032,-23.719357,3.744531,running
37:00.2,-0.512359,-8.927979,2.669535,running
37:00.2,-2.161964,-1.668759,0.718261,running
37:00.2,-1.812411,-10.402806,0.873884,running
37:00.2,0.869095,-18.109741,-0.162806,running
37:00.2,1.374272,-17.357962,1.927332,running
37:00.3,0.026336,-15.246277,5.760449,running
37:00.3,-2.363077,-14.990097,6.212954,running
37:00.3,-1.879448,-13.771448,3.643975,running
37:00.3,-1.017536,-14.214375,3.596091,running
37:00.3,-1.898602,-13.752295,2.975993,running
37:00.4,-1.711854,-12.334928,4.362236,running
37:00.4,0.023942,-9.054871,4.122815,running
37:00.4,2.245761,-6.086061,1.92015,running
